State,District,Latitude,Longitude,Crop,Market,Min_Price,Max_Price,Modal_Price,Trend,Last_Updated
Tamil Nadu,Coimbatore,11.0168,76.9558,Rice,Coimbatore Mandi,2183,2502,2281,Increasing,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Rice,Tiruppur Market,2025,2494,2232,Stable,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Rice,Erode Uzhavar Sandhai,2108,2483,2331,Decreasing,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Rice,Salem Mandi,2202,2519,2298,Volatile,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Rice,Namakkal Market,2283,2540,2389,Increasing,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Rice,Karur Uzhavar Sandhai,2258,2589,2370,Stable,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Rice,Trichy Mandi,2215,2751,2459,Decreasing,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Rice,Thanjavur Market,2248,2555,2398,Volatile,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Rice,Tiruvarur Uzhavar Sandhai,2332,2692,2432,Increasing,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Rice,Nagapattinam Mandi,2105,2460,2258,Stable,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Rice,Madurai Market,2104,2405,2214,Decreasing,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Rice,Dindigul Uzhavar Sandhai,2158,2511,2293,Volatile,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Rice,Theni Mandi,2133,2521,2271,Increasing,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Rice,Sivaganga Market,2214,2510,2315,Stable,2026-08-14
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Rice,Ramanathapuram Uzhavar Sandhai,2257,2579,2381,Decreasing,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Rice,Tirunelveli Mandi,2287,2709,2438,Volatile,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Rice,Thoothukudi Market,2287,2753,2470,Increasing,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Rice,Kanyakumari Uzhavar Sandhai,2254,2595,2408,Stable,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Rice,Cuddalore Mandi,2115,2391,2278,Decreasing,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Rice,Villupuram Market,2200,2582,2312,Volatile,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Rice,Kallakurichi Uzhavar Sandhai,2073,2399,2267,Increasing,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Rice,Vellore Mandi,2195,2464,2288,Stable,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Rice,Ranipet Market,2152,2607,2372,Decreasing,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Rice,Tirupattur Uzhavar Sandhai,2193,2551,2381,Volatile,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Rice,Tiruvannamalai Mandi,2293,2700,2443,Increasing,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Rice,Kanchipuram Market,2258,2618,2459,Stable,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Rice,Chengalpattu Uzhavar Sandhai,2271,2638,2454,Decreasing,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Rice,Thiruvallur Mandi,2019,2386,2230,Volatile,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Rice,Krishnagiri Market,2054,2438,2250,Increasing,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Rice,Dharmapuri Uzhavar Sandhai,2181,2574,2305,Stable,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Cotton,Coimbatore Market,6181,7379,6726,Stable,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Cotton,Tiruppur Uzhavar Sandhai,6613,7727,6972,Decreasing,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Cotton,Erode Mandi,6264,7303,6919,Volatile,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Cotton,Salem Market,6317,7359,6982,Increasing,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Cotton,Namakkal Uzhavar Sandhai,6604,7697,7229,Stable,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Cotton,Karur Mandi,6846,7515,7202,Decreasing,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Cotton,Trichy Market,6933,8041,7239,Volatile,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Cotton,Thanjavur Uzhavar Sandhai,6637,7650,7330,Increasing,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Cotton,Tiruvarur Mandi,7212,8128,7618,Stable,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Cotton,Nagapattinam Market,6536,7680,6912,Decreasing,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Cotton,Madurai Uzhavar Sandhai,6515,7403,6896,Volatile,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Cotton,Dindigul Mandi,6443,7185,6846,Increasing,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Cotton,Theni Market,6575,7320,6907,Stable,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Cotton,Sivaganga Uzhavar Sandhai,6625,7552,7088,Decreasing,2026-08-14
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Cotton,Ramanathapuram Mandi,6686,7577,7137,Volatile,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Cotton,Tirunelveli Market,7052,8017,7387,Increasing,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Cotton,Thoothukudi Uzhavar Sandhai,6803,7886,7324,Stable,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Cotton,Kanyakumari Mandi,7073,8245,7500,Decreasing,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Cotton,Cuddalore Market,6262,7618,6898,Volatile,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Cotton,Villupuram Uzhavar Sandhai,6245,7660,6857,Increasing,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Cotton,Kallakurichi Mandi,6488,7615,7020,Stable,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Cotton,Vellore Market,6432,7204,6890,Decreasing,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Cotton,Ranipet Uzhavar Sandhai,6987,7604,7287,Volatile,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Cotton,Tirupattur Mandi,6508,7467,7168,Increasing,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Cotton,Tiruvannamalai Market,6449,7984,7157,Stable,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Cotton,Kanchipuram Uzhavar Sandhai,6671,8127,7387,Decreasing,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Cotton,Chengalpattu Mandi,6999,8415,7529,Volatile,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Cotton,Thiruvallur Market,6166,7022,6650,Increasing,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Cotton,Krishnagiri Uzhavar Sandhai,6549,7362,6828,Stable,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Cotton,Dharmapuri Mandi,6635,7382,7046,Decreasing,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Banana,Coimbatore Uzhavar Sandhai,3039,3573,3224,Decreasing,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Banana,Tiruppur Mandi,3070,3540,3343,Volatile,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Banana,Erode Market,2925,3386,3249,Increasing,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Banana,Salem Uzhavar Sandhai,3216,3509,3361,Stable,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Banana,Namakkal Mandi,3158,3503,3367,Decreasing,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Banana,Karur Market,3054,3543,3356,Volatile,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Banana,Trichy Uzhavar Sandhai,3143,3731,3472,Increasing,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Banana,Thanjavur Mandi,3295,3639,3452,Stable,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Banana,Tiruvarur Market,3418,3747,3580,Decreasing,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Banana,Nagapattinam Uzhavar Sandhai,3069,3461,3317,Volatile,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Banana,Madurai Mandi,3135,3649,3311,Increasing,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Banana,Dindigul Market,3132,3520,3379,Stable,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Banana,Theni Uzhavar Sandhai,3099,3658,3332,Decreasing,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Banana,Sivaganga Mandi,3199,3606,3414,Volatile,2026-08-14
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Banana,Ramanathapuram Market,3165,3887,3501,Increasing,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Banana,Tirunelveli Uzhavar Sandhai,3186,3795,3428,Stable,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Banana,Thoothukudi Mandi,3396,3782,3609,Decreasing,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Banana,Kanyakumari Market,3272,3939,3549,Volatile,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Banana,Cuddalore Uzhavar Sandhai,2972,3528,3178,Increasing,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Banana,Villupuram Mandi,3145,3685,3294,Stable,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Banana,Kallakurichi Market,3185,3652,3389,Decreasing,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Banana,Vellore Uzhavar Sandhai,3051,3706,3332,Volatile,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Banana,Ranipet Mandi,3071,3715,3325,Increasing,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Banana,Tirupattur Market,3166,3774,3495,Stable,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Banana,Tiruvannamalai Uzhavar Sandhai,3288,3951,3531,Decreasing,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Banana,Kanchipuram Mandi,3345,3777,3578,Volatile,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Banana,Chengalpattu Market,3234,3791,3572,Increasing,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Banana,Thiruvallur Uzhavar Sandhai,3098,3536,3230,Stable,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Banana,Krishnagiri Mandi,3008,3510,3307,Decreasing,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Banana,Dharmapuri Market,3185,3616,3371,Volatile,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Mango,Coimbatore Mandi,3348,3789,3596,Volatile,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Mango,Tiruppur Market,3289,3812,3501,Increasing,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Mango,Erode Uzhavar Sandhai,3350,4084,3718,Stable,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Mango,Salem Mandi,3373,4078,3715,Decreasing,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Mango,Namakkal Market,3324,4021,3656,Volatile,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Mango,Karur Uzhavar Sandhai,3363,3910,3696,Increasing,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Mango,Trichy Mandi,3646,4194,3803,Stable,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Mango,Thanjavur Market,3639,4262,3889,Decreasing,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Mango,Tiruvarur Uzhavar Sandhai,3443,4267,3810,Volatile,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Mango,Nagapattinam Mandi,3332,3776,3474,Increasing,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Mango,Madurai Market,3239,3775,3596,Stable,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Mango,Dindigul Uzhavar Sandhai,3400,3720,3562,Decreasing,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Mango,Theni Mandi,3293,3927,3603,Volatile,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Mango,Sivaganga Market,3361,4013,3691,Increasing,2026-08-14
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Mango,Ramanathapuram Uzhavar Sandhai,3555,4282,3838,Stable,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Mango,Tirunelveli Mandi,3622,4352,3902,Decreasing,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Mango,Thoothukudi Market,3737,4193,3913,Volatile,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Mango,Kanyakumari Uzhavar Sandhai,3543,3988,3807,Increasing,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Mango,Cuddalore Mandi,3331,3780,3604,Stable,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Mango,Villupuram Market,3273,3751,3513,Decreasing,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Mango,Kallakurichi Uzhavar Sandhai,3205,3740,3551,Volatile,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Mango,Vellore Mandi,3349,3989,3623,Increasing,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Mango,Ranipet Market,3496,3984,3735,Stable,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Mango,Tirupattur Uzhavar Sandhai,3375,3956,3719,Decreasing,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Mango,Tiruvannamalai Mandi,3483,4038,3789,Volatile,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Mango,Kanchipuram Market,3590,4146,3770,Increasing,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Mango,Chengalpattu Uzhavar Sandhai,3609,4277,3824,Stable,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Mango,Thiruvallur Mandi,3156,3845,3462,Decreasing,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Mango,Krishnagiri Market,3240,3932,3583,Volatile,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Mango,Dharmapuri Uzhavar Sandhai,3434,4131,3699,Increasing,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Maize,Coimbatore Market,1811,2123,1915,Increasing,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Maize,Tiruppur Uzhavar Sandhai,1828,2038,1949,Stable,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Maize,Erode Mandi,1830,2159,1985,Decreasing,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Maize,Salem Market,1877,2201,2031,Volatile,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Maize,Namakkal Uzhavar Sandhai,1911,2197,2078,Increasing,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Maize,Karur Mandi,1862,2297,2063,Stable,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Maize,Trichy Market,1949,2291,2145,Decreasing,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Maize,Thanjavur Uzhavar Sandhai,1923,2197,2087,Volatile,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Maize,Tiruvarur Mandi,2013,2234,2134,Increasing,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Maize,Nagapattinam Market,1776,2135,1955,Stable,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Maize,Madurai Uzhavar Sandhai,1905,2247,2008,Decreasing,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Maize,Dindigul Mandi,1849,2196,1980,Volatile,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Maize,Theni Market,1815,2148,1988,Increasing,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Maize,Sivaganga Uzhavar Sandhai,1875,2195,2074,Stable,2026-08-14
