State,District,Latitude,Longitude,Texture,pH,Nitrogen,Organic_Carbon,Sand,Clay,Silt,CEC,Bulk_Density,Field_Capacity,Wilting_Point,Drainage
Tamil Nadu,Coimbatore,11.0168,76.9558,Loam,6.21,High,Low,46,32,22,22.38,1.56,0.32,0.14,Good
Tamil Nadu,Coimbatore,11.0168,76.9558,Clay Loam,6.74,Low,Low,41,37,22,18.6,1.24,0.35,0.15,Good
Tamil Nadu,Coimbatore,11.0168,76.9558,Sandy Loam,6.96,Low,Medium,61,19,20,13.52,1.59,0.37,0.19,Moderate
Tamil Nadu,Coimbatore,11.0168,76.9558,Clay,7.15,High,Medium,36,37,27,11.26,1.42,0.27,0.11,Moderate
Tamil Nadu,Coimbatore,11.0168,76.9558,Red Loam,6.27,High,Medium,48,20,32,15.09,1.37,0.28,0.17,Good
Tamil Nadu,Tiruppur,11.1085,77.3411,Loam,6.4,High,High,39,30,31,22.26,1.36,0.3,0.2,Good
Tamil Nadu,Tiruppur,11.1085,77.3411,Clay Loam,6.73,High,Low,41,38,21,18.06,1.51,0.35,0.22,Good
Tamil Nadu,Tiruppur,11.1085,77.3411,Sandy Loam,6.81,Medium,Low,55,20,25,16.75,1.29,0.36,0.17,Moderate
Tamil Nadu,Tiruppur,11.1085,77.3411,Clay,6.88,Medium,High,35,44,21,15.63,1.6,0.31,0.17,Moderate
Tamil Nadu,Tiruppur,11.1085,77.3411,Red Loam,6.3,Low,Medium,50,26,24,21.65,1.2,0.24,0.19,Good
Tamil Nadu,Erode,11.341,77.7172,Loam,6.63,Medium,Low,46,31,23,13.64,1.39,0.3,0.2,Good
Tamil Nadu,Erode,11.341,77.7172,Clay Loam,6.85,Medium,Medium,42,30,28,16.41,1.52,0.29,0.18,Good
Tamil Nadu,Erode,11.341,77.7172,Sandy Loam,7.03,Low,Medium,58,21,21,21.79,1.39,0.23,0.12,Moderate
Tamil Nadu,Erode,11.341,77.7172,Clay,6.9,High,Medium,29,39,32,12.05,1.57,0.23,0.14,Moderate
Tamil Nadu,Erode,11.341,77.7172,Red Loam,6.22,Low,Low,45,23,32,18.7,1.5,0.37,0.18,Good
Tamil Nadu,Salem,11.6643,78.146,Loam,6.47,Medium,High,40,24,36,18.16,1.51,0.37,0.15,Good
Tamil Nadu,Salem,11.6643,78.146,Clay Loam,6.81,Low,Medium,36,38,26,18.23,1.58,0.36,0.16,Good
Tamil Nadu,Salem,11.6643,78.146,Sandy Loam,6.59,High,Medium,56,16,28,17.11,1.36,0.24,0.18,Moderate
Tamil Nadu,Salem,11.6643,78.146,Clay,6.84,Low,Low,29,42,29,21.67,1.46,0.37,0.21,Moderate
Tamil Nadu,Salem,11.6643,78.146,Red Loam,5.96,High,Medium,51,25,24,16.3,1.57,0.3,0.15,Good
Tamil Nadu,Namakkal,11.2189,78.1674,Loam,6.46,High,High,40,26,34,12.9,1.45,0.29,0.12,Good
Tamil Nadu,Namakkal,11.2189,78.1674,Clay Loam,6.81,Low,Low,42,36,22,19.06,1.27,0.32,0.21,Good
Tamil Nadu,Namakkal,11.2189,78.1674,Sandy Loam,6.57,High,High,57,21,22,22.29,1.25,0.3,0.19,Moderate
Tamil Nadu,Namakkal,11.2189,78.1674,Clay,6.91,High,Low,30,38,32,15.46,1.37,0.29,0.1,Moderate
Tamil Nadu,Namakkal,11.2189,78.1674,Red Loam,6.1,Medium,Medium,49,22,29,16.97,1.51,0.29,0.15,Good
Tamil Nadu,Karur,10.9601,78.0766,Loam,6.31,Low,High,45,31,24,21.15,1.52,0.35,0.2,Good
Tamil Nadu,Karur,10.9601,78.0766,Clay Loam,6.57,High,Medium,35,37,28,15.71,1.51,0.36,0.18,Good
Tamil Nadu,Karur,10.9601,78.0766,Sandy Loam,7.03,Medium,High,59,16,25,19.62,1.52,0.25,0.16,Moderate
Tamil Nadu,Karur,10.9601,78.0766,Clay,6.79,High,Medium,31,40,29,19.38,1.25,0.35,0.1,Moderate
Tamil Nadu,Karur,10.9601,78.0766,Red Loam,6.17,Medium,High,45,20,35,21.23,1.46,0.24,0.12,Good
Tamil Nadu,Trichy,10.7905,78.7047,Loam,6.44,Medium,Low,39,28,33,13.65,1.23,0.29,0.21,Good
Tamil Nadu,Trichy,10.7905,78.7047,Clay Loam,6.84,Low,Low,40,30,30,13.29,1.32,0.24,0.15,Good
Tamil Nadu,Trichy,10.7905,78.7047,Sandy Loam,7.04,Medium,High,59,19,22,18.76,1.49,0.23,0.13,Moderate
Tamil Nadu,Trichy,10.7905,78.7047,Clay,6.95,High,Low,35,42,23,19.61,1.54,0.33,0.21,Moderate
