run_id,baseline_run_id,crop,dropped_agent,wall_time_seconds,error,ablated_confidence,baseline_confidence,confidence_delta,ablated_status
ablation_cotton_yield_r1_drop_HistoricalAgent,cotton_yield_r1,cotton,HistoricalAgent,592.443,False,0.84,0.82,0.020000000000000018,success
ablation_cotton_yield_r1_drop_MarketAgent,cotton_yield_r1,cotton,MarketAgent,597.697,False,0.83,0.82,0.010000000000000009,success
ablation_cotton_yield_r1_drop_SatelliteAgent,cotton_yield_r1,cotton,SatelliteAgent,426.594,False,0.78,0.82,-0.039999999999999925,success
ablation_cotton_yield_r1_drop_SoilAgent,cotton_yield_r1,cotton,SoilAgent,353.774,False,0.75,0.82,-0.06999999999999995,success
ablation_cotton_yield_r1_drop_WeatherAgent,cotton_yield_r1,cotton,WeatherAgent,499.048,False,0.82,0.82,0.0,success
ablation_rice_suitability_r1_drop_HistoricalAgent,rice_suitability_r1,rice,HistoricalAgent,887.969,False,0.76,0.78,-0.020000000000000018,success
ablation_rice_suitability_r1_drop_MarketAgent,rice_suitability_r1,rice,MarketAgent,534.706,False,0.75,0.78,-0.030000000000000027,success
ablation_rice_suitability_r1_drop_SatelliteAgent,rice_suitability_r1,rice,SatelliteAgent,377.461,False,0.82,0.78,0.039999999999999925,success
ablation_rice_suitability_r1_drop_SoilAgent,rice_suitability_r1,rice,SoilAgent,318.29,False,0.72,0.78,-0.06000000000000005,success
ablation_rice_suitability_r1_drop_WeatherAgent,rice_suitability_r1,rice,WeatherAgent,387.762,False,0.82,0.78,0.039999999999999925,success
ablation_wheat_irrigation_r1_drop_HistoricalAgent,wheat_irrigation_r1,wheat,HistoricalAgent,256.824,False,0.71,0.8,-0.09000000000000008,success
ablation_wheat_irrigation_r1_drop_MarketAgent,wheat_irrigation_r1,wheat,MarketAgent,467.967,False,0.71,0.8,-0.09000000000000008,success
ablation_wheat_irrigation_r1_drop_SatelliteAgent,wheat_irrigation_r1,wheat,SatelliteAgent,498.204,False,0.78,0.8,-0.020000000000000018,success
ablation_wheat_irrigation_r1_drop_SoilAgent,wheat_irrigation_r1,wheat,SoilAgent,459.361,False,0.68,0.8,-0.12,success
ablation_wheat_irrigation_r1_drop_WeatherAgent,wheat_irrigation_r1,wheat,WeatherAgent,505.93,False,0.68,0.8,-0.12,success
