run_id,crop,query_type,agent,status,confidence,execution_time,num_risks,num_opportunities,governance_action,governance_p_fail,posterior_mean
cotton_irrigation_r1,cotton,irrigation,WeatherAgent,completed,0.95,154.012,1.0,3.0,auto_execute,0.2954,0.8059309060726397
cotton_irrigation_r1,cotton,irrigation,SoilAgent,completed,0.95,225.148,1.0,2.0,auto_execute,0.2609,0.8350525033956088
cotton_irrigation_r1,cotton,irrigation,SatelliteAgent,completed,0.62,2.648,6.0,4.0,human_review,0.4442,0.6954396196571928
cotton_irrigation_r1,cotton,irrigation,ExecutiveAgent,completed,0.87,0.0,,,human_review,0.1945,0.8817857319432905
cotton_irrigation_r1,cotton,irrigation,RecommendationAgent,completed,0.88,,,,human_review,0.159,0.9040176740919109
cotton_market_r1,cotton,market,MarketAgent,failed,0.0,198.611,0.0,0.0,human_review,0.5514,0.6061074954725583
cotton_market_r1,cotton,market,ExecutiveAgent,completed,0.82,1.775,,,human_review,0.1836,0.8886188971828721
cotton_market_r1,cotton,market,RecommendationAgent,completed,0.35,,,,human_review,0.1537,0.9073276293190049
cotton_suitability_r1,cotton,suitability,WeatherAgent,completed,0.92,144.776,1.0,3.0,auto_execute,0.2872,0.8115456655940338
cotton_suitability_r1,cotton,suitability,SoilAgent,completed,0.95,230.301,3.0,3.0,auto_execute,0.2536,0.8397862470510086
cotton_suitability_r1,cotton,suitability,SatelliteAgent,completed,0.85,2.147,6.0,4.0,human_review,0.4265,0.7086555184636076
cotton_suitability_r1,cotton,suitability,HistoricalAgent,completed,0.85,59.89,0.0,0.0,human_review,0.6901,0.47334982443340146
cotton_suitability_r1,cotton,suitability,ExecutiveAgent,completed,0.82,0.0,,,human_review,0.1889,0.8853160684682346
cotton_suitability_r1,cotton,suitability,RecommendationAgent,completed,0.82,,,,human_review,0.154,0.9071246875063332
cotton_yield_r1,cotton,yield,WeatherAgent,completed,0.95,147.252,1.0,3.0,auto_execute,0.3241,0.7859618362702925
cotton_yield_r1,cotton,yield,SoilAgent,completed,0.95,212.074,1.0,2.0,auto_execute,0.2857,0.8187250110601543
cotton_yield_r1,cotton,yield,SatelliteAgent,completed,0.55,2.691,5.0,4.0,human_review,0.4936,0.6580395119738072
cotton_yield_r1,cotton,yield,HistoricalAgent,completed,0.85,59.174,0.0,0.0,human_review,0.7265,0.44026133759508146
cotton_yield_r1,cotton,yield,ExecutiveAgent,completed,0.82,0.0,,,human_review,0.2149,0.8688498339473495
cotton_yield_r1,cotton,yield,RecommendationAgent,completed,0.82,,,,human_review,0.1781,0.8920853490450399
cotton_yield_r2,cotton,yield,WeatherAgent,completed,0.95,161.357,1.0,3.0,auto_execute,0.3139,0.7930879535411866
cotton_yield_r2,cotton,yield,SoilAgent,completed,0.95,209.793,2.0,3.0,auto_execute,0.2769,0.8245604414934861
cotton_yield_r2,cotton,yield,SatelliteAgent,completed,0.62,2.379,5.0,4.0,human_review,0.4772,0.6705350753777114
cotton_yield_r2,cotton,yield,ExecutiveAgent,completed,0.84,0.0,,,human_review,0.2077,0.8733966201186115
cotton_yield_r2,cotton,yield,RecommendationAgent,completed,0.88,,,,human_review,0.1712,0.8964089277160507
cotton_yield_r3,cotton,yield,WeatherAgent,completed,0.95,152.28,2.0,3.0,auto_execute,0.3043,0.7997272609665389
cotton_yield_r3,cotton,yield,SoilAgent,completed,0.95,211.528,1.0,2.0,auto_execute,0.2686,0.8299882648578758
cotton_yield_r3,cotton,yield,SatelliteAgent,completed,0.78,2.38,6.0,4.0,human_review,0.4584,0.6848157342287696
cotton_yield_r3,cotton,yield,ExecutiveAgent,completed,0.86,0.998,,,human_review,0.2009,0.8777217356876144
cotton_yield_r3,cotton,yield,RecommendationAgent,completed,0.88,,,,human_review,0.1649,0.9003719425490609
mango_irrigation_r1,mango,irrigation,WeatherAgent,completed,0.95,184.928,1.0,2.0,auto_execute,0.2376,0.8442229175567943
mango_irrigation_r1,mango,irrigation,SoilAgent,completed,0.95,245.106,2.0,3.0,auto_execute,0.2009,0.8735917539505192
mango_irrigation_r1,mango,irrigation,SatelliteAgent,completed,0.4,2.103,5.0,4.0,human_review,0.3544,0.7610982358651293
mango_irrigation_r1,mango,irrigation,ExecutiveAgent,completed,0.77,0.0,,,auto_execute,0.1475,0.9111958051942514
mango_irrigation_r1,mango,irrigation,RecommendationAgent,completed,0.77,,,,human_review,0.1195,0.9284091317848487
mango_market_r1,mango,market,MarketAgent,completed,0.96,75.394,5.0,5.0,human_review,0.5248,0.6257398227891703
mango_market_r1,mango,market,ExecutiveAgent,completed,0.96,0.0,,,auto_execute,0.1406,0.9154227929293826
mango_market_r1,mango,market,RecommendationAgent,completed,0.35,,,,human_review,0.1195,0.9284262986714987
mango_suitability_r1,mango,suitability,WeatherAgent,completed,0.84,190.08,1.0,2.0,auto_execute,0.2331,0.847266560812972
mango_suitability_r1,mango,suitability,SoilAgent,completed,0.95,271.157,3.0,3.0,auto_execute,0.1969,0.8760723588571936
mango_suitability_r1,mango,suitability,SatelliteAgent,failed,0.0,140.502,0.0,0.0,human_review,0.3995,0.7189667868212818
mango_suitability_r1,mango,suitability,ExecutiveAgent,completed,0.9,0.0,,,auto_execute,0.1441,0.9132833169983033
mango_suitability_r1,mango,suitability,RecommendationAgent,completed,0.35,,,,human_review,0.1195,0.9284171961301818
mango_yield_r1,mango,yield,WeatherAgent,completed,0.95,153.596,3.0,1.0,auto_execute,0.2425,0.8419085493773304
mango_yield_r1,mango,yield,SoilAgent,completed,0.95,186.656,2.0,3.0,auto_execute,0.2138,0.865360807108401
mango_yield_r1,mango,yield,SatelliteAgent,completed,0.4,2.343,6.0,4.0,human_review,0.3734,0.7474608522593555
mango_yield_r1,mango,yield,ExecutiveAgent,completed,0.76,0.0,,,human_review,0.1564,0.9056574599862425
mango_yield_r1,mango,yield,RecommendationAgent,completed,0.76,,,,human_review,0.1284,0.9229466519623385
mango_yield_r2,mango,yield,WeatherAgent,unavailable,0.0,0.0,1.0,0.0,auto_execute,0.2487,0.8366911750630432
mango_yield_r2,mango,yield,SoilAgent,completed,0.95,53.25,2.0,3.0,auto_execute,0.2093,0.8682418812402193
mango_yield_r2,mango,yield,SatelliteAgent,completed,0.42,8.345,5.0,4.0,human_review,0.3667,0.752290905498099
mango_yield_r2,mango,yield,HistoricalAgent,completed,0.86,59.234,0.0,0.0,human_review,0.5461,0.5971852792622449
mango_yield_r2,mango,yield,ExecutiveAgent,completed,0.72,0.0,,,human_review,0.1535,0.9074736472122658
mango_yield_r2,mango,yield,RecommendationAgent,completed,0.92,,,,human_review,0.1248,0.925143592959766
mango_yield_r3,mango,yield,WeatherAgent,completed,0.95,134.901,3.0,1.0,auto_execute,0.243,0.8405559454016474
mango_yield_r3,mango,yield,SoilAgent,completed,0.95,192.309,2.0,3.0,auto_execute,0.205,0.8709846499939843
mango_yield_r3,mango,yield,SatelliteAgent,completed,0.4,2.533,6.0,4.0,human_review,0.3605,0.7567705834467975
mango_yield_r3,mango,yield,ExecutiveAgent,completed,0.78,0.0,,,human_review,0.1504,0.9093947305897343
mango_yield_r3,mango,yield,RecommendationAgent,completed,0.78,,,,human_review,0.1221,0.926831800213149
rice_irrigation_r1,rice,irrigation,WeatherAgent,completed,0.92,114.951,1.0,3.0,human_review,0.3463,0.7703779986903275
rice_irrigation_r1,rice,irrigation,SoilAgent,completed,0.95,193.318,2.0,3.0,auto_execute,0.3054,0.8056923251622384
rice_irrigation_r1,rice,irrigation,SatelliteAgent,completed,0.4,2.291,5.0,4.0,human_review,0.5218,0.6362517675701979
rice_irrigation_r1,rice,irrigation,ExecutiveAgent,completed,0.78,0.0,,,human_review,0.2383,0.8538998883258044
rice_irrigation_r1,rice,irrigation,RecommendationAgent,completed,0.78,,,,human_review,0.1999,0.8783639546134443
rice_market_r1,rice,market,MarketAgent,completed,0.96,61.266,4.0,5.0,human_review,0.4967,0.6623913789286694
rice_market_r1,rice,market,HistoricalAgent,completed,0.62,60.3,0.0,0.0,human_review,0.7655,0.40374881783816896
rice_market_r1,rice,market,ExecutiveAgent,completed,0.78,0.0,,,human_review,0.2224,0.864067598039246
rice_market_r1,rice,market,RecommendationAgent,completed,0.78,,,,human_review,0.185,0.887731965551901
rice_suitability_r1,rice,suitability,WeatherAgent,completed,0.92,114.501,1.0,3.0,human_review,0.335,0.7783106368167887
rice_suitability_r1,rice,suitability,SoilAgent,completed,0.95,187.435,2.0,3.0,auto_execute,0.2952,0.8124489398890068
rice_suitability_r1,rice,suitability,SatelliteAgent,completed,0.42,2.239,5.0,4.0,human_review,0.5091,0.6460772010392504
rice_suitability_r1,rice,suitability,ExecutiveAgent,completed,0.78,0.0,,,human_review,0.23,0.8591852472646245
