run_id,crop,agent,provider,elapsed_seconds,valid_json_first_try,error,response_chars
cotton_HistoricalAgent,cotton,HistoricalAgent,ollama,302.06,False,RuntimeError: Ollama request timed out after 300 seconds.,0
cotton_HistoricalAgent,cotton,HistoricalAgent,groq,1.813,False,,1787
cotton_SatelliteAgent,cotton,SatelliteAgent,ollama,242.398,True,,726
cotton_SatelliteAgent,cotton,SatelliteAgent,groq,1.682,False,,81
cotton_SoilAgent,cotton,SoilAgent,ollama,267.369,True,,910
cotton_SoilAgent,cotton,SoilAgent,groq,1.457,False,,603
cotton_WeatherAgent,cotton,WeatherAgent,ollama,302.066,False,RuntimeError: Ollama request timed out after 300 seconds.,0
cotton_WeatherAgent,cotton,WeatherAgent,groq,3.392,True,,1084
rice_HistoricalAgent,rice,HistoricalAgent,ollama,302.082,False,RuntimeError: Ollama request timed out after 300 seconds.,0
rice_HistoricalAgent,rice,HistoricalAgent,groq,1.747,True,,1700
rice_SatelliteAgent,rice,SatelliteAgent,ollama,146.255,True,,88
rice_SatelliteAgent,rice,SatelliteAgent,groq,1.777,False,,549
rice_SoilAgent,rice,SoilAgent,ollama,179.189,True,,88
rice_SoilAgent,rice,SoilAgent,groq,1.558,False,,1269
rice_WeatherAgent,rice,WeatherAgent,ollama,151.776,True,,376
rice_WeatherAgent,rice,WeatherAgent,groq,4.392,True,,648
wheat_HistoricalAgent,wheat,HistoricalAgent,ollama,302.055,False,RuntimeError: Ollama request timed out after 300 seconds.,0
wheat_HistoricalAgent,wheat,HistoricalAgent,groq,1.761,True,,1853
wheat_SatelliteAgent,wheat,SatelliteAgent,ollama,302.064,False,RuntimeError: Ollama request timed out after 300 seconds.,0
wheat_SatelliteAgent,wheat,SatelliteAgent,groq,1.651,False,,431
wheat_SoilAgent,wheat,SoilAgent,ollama,302.057,False,RuntimeError: Ollama request timed out after 300 seconds.,0
wheat_SoilAgent,wheat,SoilAgent,groq,1.644,True,,1210
wheat_WeatherAgent,wheat,WeatherAgent,ollama,302.063,False,RuntimeError: Ollama request timed out after 300 seconds.,0
wheat_WeatherAgent,wheat,WeatherAgent,groq,1.424,True,,828
