run_id,crop,query_type,repeat,wall_time_seconds,pipeline_error,status,overall_confidence,agents_planned,agents_completed,agents_failed,agents_unavailable,planner_confidence,reasoning_confidence,executive_confidence,explanation_confidence,decision_trace_steps,evidence_sources,limitations_count,monitoring_items,recommendation_generation_mode,recommendation_requires_review,recommendation_rejected
cotton_irrigation_r1,cotton,irrigation,1,825.944,False,success,0.87,4,3,0,0,0.95,0.87,0.87,0.852,9,4,3,5,llm,True,False
cotton_market_r1,cotton,market,1,638.012,False,success,0.82,2,0,1,0,0.95,0.82,0.82,0.82,9,4,8,10,deterministic_fallback,True,False
cotton_suitability_r1,cotton,suitability,1,616.676,False,success,0.82,5,4,0,0,0.95,0.82,0.82,0.7762,9,4,3,5,llm,True,False
cotton_yield_r1,cotton,yield,1,599.491,False,success,0.82,5,4,0,0,0.93,0.82,0.82,0.7313,9,4,3,4,llm,True,False
cotton_yield_r2,cotton,yield,2,552.258,False,success,0.84,4,3,0,0,0.95,0.84,0.84,0.84,9,4,3,4,llm,True,False
cotton_yield_r3,cotton,yield,3,546.071,False,success,0.86,4,3,0,0,0.95,0.86,0.86,0.88,9,4,3,4,llm,True,False
mango_irrigation_r1,mango,irrigation,1,612.414,False,success,0.77,4,3,0,0,0.95,0.77,0.77,0.768,9,4,3,5,llm,True,False
mango_market_r1,mango,market,1,671.771,False,success,0.96,2,1,0,0,0.85,0.96,0.96,0.96,9,4,6,9,deterministic_fallback,True,False
mango_suitability_r1,mango,suitability,1,1220.841,False,success,0.9,4,2,1,0,0.85,0.9,0.9,0.8975,9,4,5,10,deterministic_fallback,True,False
mango_yield_r1,mango,yield,1,522.208,False,success,0.76,4,3,0,0,0.95,0.76,0.76,0.764,9,4,3,5,llm,True,False
mango_yield_r2,mango,yield,2,302.733,False,success,0.72,5,3,0,1,0.92,0.72,0.72,0.6222,9,4,3,4,llm,True,False
mango_yield_r3,mango,yield,3,505.813,False,success,0.78,4,3,0,0,0.95,0.78,0.78,0.772,9,4,3,4,llm,True,False
rice_irrigation_r1,rice,irrigation,1,489.745,False,success,0.78,4,3,0,0,0.95,0.78,0.78,0.766,9,4,3,5,llm,True,False
rice_market_r1,rice,market,1,300.912,False,success,0.78,3,2,0,0,0.95,0.78,0.78,0.6843,9,4,8,10,llm,True,False
rice_suitability_r1,rice,suitability,1,484.019,False,success,0.78,4,3,0,0,0.95,0.78,0.78,0.77,9,4,3,4,llm,True,False
rice_yield_r1,rice,yield,1,646.851,False,success,0.75,4,3,0,0,0.95,0.75,0.75,0.76,9,4,3,4,llm,True,False
rice_yield_r2,rice,yield,2,561.498,False,success,0.82,4,3,0,0,0.95,0.82,0.82,0.782,9,4,3,4,llm,True,False
rice_yield_r3,rice,yield,3,522.889,False,success,0.78,4,3,0,0,0.95,0.78,0.78,0.766,9,4,3,4,llm,True,False
tomato_irrigation_r1,tomato,irrigation,1,419.724,False,success,0.78,3,2,0,0,0.95,0.78,0.78,0.7925,9,4,3,4,llm,True,False
tomato_market_r1,tomato,market,1,239.369,False,success,0.96,2,1,0,0,0.95,0.96,0.96,0.96,9,4,3,4,llm,True,False
tomato_suitability_r1,tomato,suitability,1,650.334,False,success,0.71,4,3,0,0,0.95,0.71,0.71,0.728,9,4,3,5,llm,True,False
tomato_yield_r1,tomato,yield,1,812.13,False,success,0.69,4,3,0,0,0.95,0.69,0.69,0.712,9,4,3,5,llm,True,False
tomato_yield_r2,tomato,yield,2,804.984,False,success,0.81,4,3,0,0,0.95,0.81,0.81,0.826,9,4,3,5,llm,True,False
tomato_yield_r3,tomato,yield,3,809.825,False,success,0.62,4,2,1,0,0.95,0.62,0.62,0.64,9,4,7,10,llm,True,False
wheat_irrigation_r1,wheat,irrigation,1,620.156,False,success,0.8,4,3,0,0,0.95,0.8,0.8,0.802,9,4,3,5,llm,True,False
wheat_market_r1,wheat,market,1,258.954,False,success,0.85,3,1,0,1,0.92,0.85,0.85,0.6658,9,4,3,4,llm,True,False
wheat_suitability_r1,wheat,suitability,1,668.82,False,success,0.73,5,4,0,0,0.95,0.73,0.73,0.6628,9,4,3,4,llm,True,False
wheat_yield_r1,wheat,yield,1,649.192,False,success,0.76,5,4,0,0,0.95,0.76,0.76,0.6838,9,4,3,4,llm,True,False
wheat_yield_r2,wheat,yield,2,678.069,False,success,0.7,5,4,0,0,0.95,0.7,0.7,0.6445,9,4,3,4,llm,True,False
wheat_yield_r3,wheat,yield,3,673.847,False,success,0.76,5,4,0,0,0.95,0.76,0.76,0.6847,9,4,3,4,llm,True,False
